26	41.68740777777778	27.144204722222224	166.0
1	41.043278888888885	26.420292222222223	12.0
3	41.08680111111111	27.337248055555555	111.0
27	41.757043333333336	27.27290027777778	233.0
7	41.147732222222224	27.739421666666665	105.0
28	41.79186111111111	27.079856944444444	244.0
8	41.18255	27.85203027777778	136.8
0	40.93012111111111	26.935074444444446	115.5
9	41.22607222222222	27.482030555555557	67.4
10	41.23477666666667	26.597248611111112	13.666666666666666
11	41.252185555555556	27.06377	72.0
4	41.095505555555555	26.484640000000002	20.0
12	41.260889999999996	27.67507388888889	96.75
13	41.260889999999996	27.916378055555555	142.0
14	41.28700333333333	26.742031111111114	18.0
15	41.29570777777778	27.53029138888889	73.0
5	41.095505555555555	27.44985666666667	118.0
16	41.313116666666666	26.87072666666667	23.0
17	41.33052555555555	27.417682777777777	56.0
18	41.33923	27.28898722222222	44.8
19	41.33923	27.707247777777777	85.0
20	41.34793444444444	27.09594388888889	37.142857142857146
21	41.34793444444444	27.803769444444445	111.0
22	41.374047777777776	26.902900555555558	31.0
23	41.38275222222222	27.2085525	42.666666666666664
24	41.426274444444445	27.337248055555555	62.0
6	41.147732222222224	27.546378333333333	88.0
2	41.07809666666667	27.06377	50.0
25	41.46109222222222	27.079856944444444	63.0
