id=t12-1	x=57.26693488508615	y=100.0	score=0.2685314778516822
id=m7	x=61.894565986911374	y=49.46706663262755	score=0.507000044677374
id=t17	x=15.664876625282707	y=32.76742404901727	score=0.2126637484821709
id=m1	x=69.19344534042422	y=19.383456727087815	score=0.2307947710025278
id=t12-4	x=42.85738953257475	y=61.229895328057744	score=0.46137448494981315
id=ec8	x=69.68038264292974	y=31.449451110543738	score=0.19175913944517559
id=t12-3	x=52.34921347538541	y=87.51276487107468	score=0.21
id=t18	x=11.893702622899845	y=18.89200919070767	score=0.5057685749364753
id=t7-1	x=53.68397423721781	y=57.07492979320885	score=0.47
id=cc8	x=89.44796505102498	y=28.717768700535736	score=0.55
id=m2	x=68.98796470567918	y=31.452642328312	score=0.28
id=t2-3	x=72.46904840018651	y=44.137732958896514	score=0.23602766559113997
id=cc7	x=90.5927857303196	y=29.876180750574118	score=0.42
id=m3	x=69.6855628269989	y=32.365330610161536	score=0.1716004021956679
id=t3-1	x=68.43713846632004	y=48.41077355118744	score=0.58
id=cc5	x=95.30329977725201	y=33.36737298953303	score=0.30959454927101127
id=cc6	x=93.75097128451297	y=32.85996936430994	score=0.21
id=m4	x=68.20057672715959	y=38.259509828950904	score=0.17
id=t1-2	x=74.10771329407908	y=39.117947408731006	score=0.59
id=ec3	x=85.76658090584154	y=38.517998468215254	score=0.21
id=t2-4	x=69.10020202717848	y=42.8197600204238	score=0.38283063460622746
id=cc2	x=98.73085490304427	y=42.73678835843755	score=0.55
id=m5	x=67.68428504826194	y=44.089864692366056	score=0.4040837364185324
id=m17	x=7.715020807072548	y=23.914985958642262	score=0.500973194616237
id=t5-2	x=59.9191891285202	y=49.435154454940026	score=0.44160004782162443
id=cc3	x=94.09977034517294	y=36.43732448302254	score=0.42
id=m6	x=64.47775110942264	y=49.080929282614754	score=0.4316912114141376
id=t11-3	x=45.42330737485528	y=19.590885882052614	score=0.3791124592987506
id=t6	x=56.672940445150466	y=48.12356395200465	score=0.22
id=cc4	x=91.08662994491733	y=32.29512381924997	score=0.1810131546227724
id=m8	x=60.34914440626454	y=50.78184835333201	score=0.31794419900849014
id=t11-1	x=35.7467235335762	y=3.108246106714378	score=0.5245818404933671
id=t7-2	x=50.97646469704563	y=51.522210875670076	score=0.4
id=ec5	x=80.02175677309054	y=35.40336992596435	score=0.47
id=m9	x=57.92999844594483	y=48.997957620628505	score=0.41332038862253084
id=ec2	x=88.0855766408233	y=23.966045442940988	score=0.41
id=t8-2	x=50.00086336401131	y=49.514934899158014	score=0.22725844817399857
id=ec6	x=79.76102084160716	y=39.37962726576443	score=0.52
id=m10	x=54.00687237753156	y=50.536124585142346	score=0.5632592515995906
id=t9	x=48.74553209124022	y=51.27648710748041	score=0.21
id=ec7	x=72.75395852399288	y=33.92902731682474	score=0.21
id=m11	x=45.015799561411065	y=49.63939239213739	score=0.22865676752700195
id=t2-1	x=83.2421045361145	y=48.22249170283384	score=0.4846357075954981
id=t10	x=46.828863985633724	y=49.29154965534864	score=0.2765639262575234
id=t1-1	x=76.24885604268464	y=40.863543528210464	score=0.28
id=m12	x=42.45333517517665	y=48.359714066887896	score=0.24
id=t8-1	x=61.0950909122302	y=15.93694153689029	score=0.58
id=t11-5	x=45.15221107523356	y=48.196961960684476	score=0.4935226982572021
id=t2-2	x=71.3311346329839	y=42.64743426091396	score=0.2
id=m13	x=35.21661803049392	y=47.63849885116185	score=0.2092442177711329
id=t12-2	x=44.793051646435046	y=18.00485065100913	score=0.21863800505963818
id=t5-1	x=62.86844059192242	y=58.278018892008625	score=0.41733208650071263
id=m14	x=29.419992057050912	y=46.288613735001604	score=0.39879967154220314
id=t12-5	x=43.87788579420845	y=50.9254531529234	score=0.3
id=t11-4	x=47.33134184034673	y=38.428644370691664	score=0.44271337921404597
id=cc11	x=70.69742544851756	y=27.830610160837196	score=0.42228435368976636
id=m15	x=21.311277260718573	y=41.750702067909	score=0.18985921239727105
id=t13-2	x=35.61894565986919	y=55.72823589481769	score=0.27059591818770207
id=t11-2	x=35.432459033377725	y=0.0	score=0.28134105270208304
id=m16	x=16.321033274048954	y=37.38511616032705	score=0.36
id=t3-2	x=69.50770984062292	y=47.597013020168724	score=0.54
id=t13-3	x=34.55700792568157	y=52.96783252489125	score=0.17148772513435498
id=cc9	x=87.5606513218104	y=29.288996681133046	score=0.26826985771533146
id=t13-1	x=48.072108162243225	y=99.317079397498	score=0.36
id=t13-4	x=32.97532505655019	y=49.074546847077414	score=0.17621208157937807
id=ec4	x=82.57731424723299	y=36.85218279295378	score=0.46
id=t4	x=64.11859168062435	y=50.10211896859827	score=0.51
id=cc10	x=77.27971267245688	y=25.395711003319214	score=0.24697611856682777
id=t14-2	x=26.968038264292975	y=44.47919326014792	score=0.4403715313343036
id=cc1	x=99.99999999999999	y=40.41039060505518	score=0.45
id=ec1	x=91.72551931345284	y=48.85116160326804	score=0.5071650744936457
id=t15	x=20.25797316664643	y=40.64334950217016	score=0.21192120193621986
id=m18	x=0.0	y=13.671176921113066	score=0.3944697536358077
id=t16	x=17.964878352010672	y=37.82231299463857	score=0.4074789950101553
id=t14-1	x=41.237718646935775	y=40.81248404391092	score=0.5415445841311034
